,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R
PI595739,0.75792023,-0.58008889,0.721903289,0.310503572,0.033912712,-0.194665361,-0.212970363,-0.248115629,-0.794610589,-0.290858163,0.362359106,0.352682007,-0.738539658,-1.318779191,-0.289618654,-0.100790564,-0.01332349,-0.591437415
PI533824,1.312567136,0.16704713,1.682583805,-0.366509982,-0.349626226,0.566304416,-0.213434119,0.340716705,-0.888691438,-0.019310847,0.048224006,-0.191339781,0.112101574,0.182081861,0.638550776,0.220547331,-0.414848805,0.612706094
PI534167,-1.055181528,0.018261086,0.829680532,-0.442128088,0.273834364,0.401854984,0.221214923,0.185719276,-0.522091461,0.319566434,0.103139759,0.090007191,-0.137598265,0.479104058,0.263710835,0.433922331,0.092116933,1.002467175
PI533831,-2.434871816,-0.241845111,-1.305088943,-1.688477459,-1.055910698,-1.429431365,-0.622065092,-2.258547423,-1.028968141,-1.252760572,-1.121169368,-0.613379215,-0.996279531,-1.492732364,-2.014622623,-0.704945164,-1.90480749,-1.153050046
PI533970,0.106251994,0.12048391,0.26973539,-0.750259292,-0.288567395,0.03894949,0.221214923,-0.592069763,-0.695191064,-0.301952225,0.300392393,0.66788036,-0.633938544,-0.662037618,-0.663911323,0.484117824,-0.542604965,-0.539572739
PI576396,0.290773281,0.304857369,-0.25660872,-0.597454671,0.204645068,0.118992198,0.272073341,0.490580617,-0.610119604,0.403629423,0.275641974,0.235314175,-0.198968065,-0.578631721,-0.022140327,0.151235747,-0.510553524,0.617563127
PI533936,-0.878778036,0.162638138,0.389367921,0.838624256,0.554668405,-0.025589031,0.229872986,0.74239325,-0.495924244,-0.066717499,0.485835706,0.892428184,-0.288293891,-0.079782739,0.370689034,0.960839053,0.242907501,0.344802284
PI656117,0.477825307,0.540501911,0.485328124,-0.604342205,0.139754935,0.162886392,0.091403312,0.083230001,-0.358292043,-0.058365845,0.329562532,0.516850118,0.303164793,0.845393416,-0.500948051,0.221960142,0.102679555,0.574535706
PI659695,0.675002359,0.108247188,0.094450087,0.449619352,-0.732957148,-0.413161504,0.312564702,0.113121511,-0.62580164,-0.334938824,0.151909046,0.620580716,-0.576260053,0.031666521,-0.808386463,-0.196349184,-0.953315052,-0.951253679
PI534021,-0.04718073,-0.471006834,-0.440768163,-0.018314694,-0.753978331,-0.160179185,0.221214923,-0.130551569,-0.977846673,-0.405808017,-0.097329486,0.287432599,-1.227857522,-1.854002872,-0.490601096,-0.261251125,-0.94709761,-0.930019382
PI597946,0.550112648,0.533190561,1.94157854,-0.054159862,0.090191231,0.39701236,0.272073341,0.643546064,-0.405396192,0.135534624,0.551540576,0.915512729,0.072998795,0.591957897,-0.129748644,0.230774857,0.037154046,-0.119345382
PI534047,-0.29556129,-0.51237094,-1.512030834,0.132936874,-2.649816425,-1.465189471,0.120673694,-1.679849603,-0.810162578,-2.13429159,-0.797095623,0.553133661,-1.148649864,-0.869640495,-1.886905875,-0.710335985,-2.635659263,-2.249912325
PI576385,1.133160191,0.593853613,1.090910498,-0.227115152,-0.518184323,0.377403888,0.69663862,0.317521259,-0.052280919,-0.401318117,0.227385046,0.654244467,0.381592834,-1.28023512,0.157224937,0.425158912,-0.484819919,1.786615256
PI533766,0.513802475,0.461514501,0.430284043,-0.588316308,0.339272148,0.250919741,0.519707912,0.306632776,-0.745653002,-0.242907167,0.224610344,0.889355794,0.19401776,0.319501723,-0.861575784,-0.510454497,-0.403924076,-0.492181868
PI534155,1.017323639,0.125720525,-0.394295794,0.47540086,-0.591450897,-0.340659861,0.328313059,0.32570256,0.296807692,-0.931000649,0.076313453,0.58245597,-0.621267853,-0.898001342,-2.281567454,0.230492907,-0.278627846,-0.872375106
PI656010,0.533115262,-0.074294764,0.597722406,-0.876609296,-0.437675813,-0.576831253,-0.992481466,-0.477343431,-1.052461684,-0.305000545,-0.941775784,-1.097913974,-0.260877803,-1.473820361,-0.163027479,-0.29316987,-0.16311193,0.08228891
PI534101,1.074553028,0.58517861,0.050808406,0.225033145,0.172617526,0.305578154,0.513235398,-0.002471479,-0.025449045,-0.922096844,0.319503451,0.781108288,0.097219235,0.522002789,-0.733727219,-1.149119751,-0.35191142,-1.042694699
PI656068,-1.059824784,-0.149286473,2.57726229,2.120602352,-1.195653535,-0.484356936,-0.098827041,-0.846578838,-0.765941378,-0.352889282,-0.298713323,-0.061029691,-0.74802534,-0.354630083,-0.506472847,-0.147884235,-0.961572508,-0.012917754
PI533912,-0.590684498,-0.216718494,-0.572510748,0.214466951,-1.781136285,-0.640229109,-0.06674684,-1.329290833,-0.482839257,-1.278388165,-0.569702617,-0.024317659,-0.165000605,-1.584410284,-2.174183703,-0.257011199,-1.586463443,-1.001270145
PI576425,-0.271858452,0.033101285,-0.622581745,-0.550576311,-1.518805239,-0.409145778,-0.533221524,-0.531015746,-1.163721779,-0.07602291,-0.446692036,-0.492323771,-0.431331393,-2.069201687,-0.416557364,0.209185401,-0.115121368,-0.38544095
PI329435,0.279968288,-0.59762771,-1.269088833,-2.524200857,-1.17795886,-0.807159898,-0.868273161,-1.187133228,-1.188526638,-1.264038888,-1.32946687,-0.657317524,-2.354581366,-1.800643494,-1.141008448,-1.046931608,-1.514953703,-0.842517132
PI597961,1.420809359,-2.477077101,0.357894618,-1.655928574,0.3354164,-0.467504799,-0.356434033,-0.142364897,-0.738898368,0.210515233,-0.50488571,-0.478581504,-1.855994488,-1.618267305,-0.092815822,-0.372816608,-0.088315607,-0.813922834
PI655986,0.675974596,-0.148265753,-1.820628764,-0.133279309,-0.632248534,-0.46708969,0.500163316,-0.680635131,-0.239944292,-1.250530648,-1.030478075,0.379020856,-0.964423195,-0.894859637,-1.556576476,-0.443875044,-2.706900905,-1.507944685
PI656000,1.093143465,0.37393769,1.178239693,0.021759958,0.574175041,-0.28647291,0.576149223,0.331636362,0.26002521,0.730358787,0.236663416,0.450161907,0.572326021,0.533606326,-0.083191761,0.163581631,0.931961128,2.188710797
PI655978,1.247469678,0.075340783,0.72301988,-0.125217457,-0.307680115,-0.143372066,-0.297169121,-0.22151038,-0.253770168,-0.292704351,-0.609017531,-0.160000024,-0.164637997,-1.570996559,-0.076384649,-0.217156917,-0.373710899,-0.756284207
PI655979,0.238385314,0.720573612,-1.161780786,-0.005570868,-0.285667497,0.239620186,0.9401146,-0.154472206,0.38479689,-0.204043874,-0.013955467,0.608521735,0.234519655,-0.111246561,-0.435752467,0.116179576,-0.708653648,1.399154564
PI642791,-0.16821161,-0.031574899,-0.185415932,0.12740757,0.441185869,0.367453557,0.506720716,-0.331854633,-0.110977172,0.213879285,-0.014262882,0.237882978,0.094410773,-1.155668496,-0.17898364,-0.474314833,0.122370075,-0.133927179
PI656022,1.32603551,0.6506336,0.92126416,-0.158894111,0.676114686,-0.330849391,0.432109853,0.220359023,-0.442741952,-0.054948239,0.202011323,0.611757056,0.328820117,-0.170141968,0.529095165,0.025736085,0.523097465,1.427778838
PI655989,1.592313266,0.558732418,0.100824863,1.658636763,0.462852175,0.700347973,1.074704754,1.206929702,0.703759156,0.502145627,1.046041456,1.503764637,0.939078744,1.569579846,0.520771937,0.498411723,0.361026167,1.875575047
PI533943,-1.7234443,-1.249322774,-0.721320776,-3.181689689,-1.147657446,-1.436405315,-1.099936165,-2.822893754,-1.311867849,-1.330696811,-1.527471716,-1.246448476,-0.639721891,-2.96256812,-2.961768365,-1.339243517,-2.411657537,-1.411252114
PI576333,-0.125328919,0.485792468,0.634128589,0.977471675,-0.423973058,-0.699969124,-0.044250728,0.469539563,0.242579928,0.298650427,0.508077258,1.186978396,0.90258012,1.38594861,0.684273246,0.073696578,0.018247459,1.92641162
PI533789,-0.412657476,0.330226404,0.675806462,0.129695902,-0.153404237,-0.040514681,0.111011783,-1.814712953,-0.857049229,-0.164368576,-0.617684965,-0.112462528,-0.25630344,-0.377016544,-0.088229719,-0.1075077,-0.305217312,0.564369665
PI656078,0.515613729,0.285318543,0.000576716,0.056514919,0.244319417,0.045869933,0.296564361,0.146756635,-0.612456735,0.14293182,-0.124089176,0.467335054,-0.056106946,0.391289227,-0.058610527,0.19633576,-0.339570591,-0.308679128
PI656070,0.246353378,-0.893449712,-0.090815332,-0.878112603,-0.897609751,-0.118679454,-0.308755331,-1.488182774,-1.149081279,-0.417549048,-0.79368005,0.08151763,0.034373582,-0.01481363,-0.041682474,-0.205215471,-0.85319986,0.046562284
PI533901,-0.540818357,-0.083386749,-0.81113574,0.160119167,-0.668953883,-1.115328026,0.203670614,-0.520484674,0.119504298,-0.056168547,-0.592535275,0.174291926,0.113155523,-0.137365411,-0.166182645,-0.658882764,-0.846337484,1.238649844
PI655997,-1.237916581,0.035418594,-0.516786881,-1.080721586,-0.41971271,-0.239515927,0.459889417,-0.211927285,0.603431073,-0.33449322,-0.220867812,0.572105288,0.328108217,0.78947307,-0.056237638,-0.699793213,-0.952513836,1.4274271
PI595741,0.582638532,-0.070429465,-0.830784589,-1.292055947,-0.040144753,-0.102550072,-0.312372728,-0.911502936,0.034630453,0.149099719,-0.69370146,-0.209686147,0.29880781,0.342550848,-0.173871943,-0.188569646,-0.128652161,1.534085514
PI595744,-0.155715321,0.515146803,0.273811253,-0.65068602,0.373261963,0.150540556,0.366631923,-0.470177359,-0.462569033,0.44887206,-0.149128771,0.291729344,0.367749112,0.172905194,0.372417551,-1.500403432,0.22863526,1.928777438
PI656029,-1.20544118,-0.388295407,-1.775606223,-2.27508941,-0.787540353,-0.818228792,-1.328385992,-3.164402324,-1.189741131,-1.273505825,-1.697749799,-1.713050229,-0.497482409,-2.30747584,-1.283949123,-0.664858371,-1.713880969,-0.14079985
PI597968,-0.072812722,-0.093310693,0.315829723,0.60985907,-1.047458333,-0.194665361,0.058196432,-0.570187335,-0.137372465,-0.82923771,-0.905064822,0.046548196,-0.061570832,-0.999217433,-0.383104456,0.101132734,-0.859560131,0.956041881
PI533964,0.09914467,-0.018385499,-1.183141943,-1.702105648,-0.239656031,-0.495710711,-0.398078696,-1.33397859,-0.783431399,-0.495965075,-1.003097802,-0.570402237,0.005578076,-0.028097589,-0.323192164,-0.660360713,-1.635399696,-0.063051126
PI585295,1.222457733,0.091001843,0.557872019,0.063218631,-0.002123981,-0.494243526,-0.130265337,-0.731847785,-0.950355439,-0.38505465,-1.062621292,-0.43157405,0.022347212,0.242235894,-0.831698454,-0.504291418,-0.695409234,0.417074203
PI533878,-1.223968813,-0.403496125,-0.570136124,-1.316221113,-0.718163064,-0.877921792,-0.260836292,-0.664995549,-0.389746218,-1.204767211,-1.102422844,-0.537157141,-0.874861608,-0.232705456,-0.980629566,-0.194592867,-1.621140193,-0.292152263
PI534135,-0.064997211,-0.51437829,0.321268468,-1.966892492,-0.773924379,-0.490626523,-0.909851075,-1.285036029,-1.29238786,-0.91340619,-1.217892766,-1.260249987,-0.941498916,-0.687114459,-0.673507338,-1.523474248,-1.910472154,-0.455487784
PI655992,-0.577222125,-0.271003874,0.293357775,-1.907239435,-0.41775369,-0.578382624,-0.930370935,-2.135947786,-1.33113425,-0.893892202,-1.126192509,-1.032417463,-0.3730777,-1.361771471,-0.323969865,-0.286733767,-0.511865997,-0.39509248
PI655988,-0.181411079,-0.367500283,-0.580339032,-1.735735312,-0.65407449,-0.305890996,-0.426904524,-0.338020173,-0.234346444,-0.415729072,-0.431906852,-0.358587934,-0.045036105,-0.314998131,-0.863902042,0.048065385,-0.826427735,-0.329721197
PI534099,-0.597864554,0.451206664,0.324238005,0.458813883,0.389478276,-0.168689874,0.14911163,-0.766680678,0.149810484,0.432545164,-0.497079749,-0.084341697,-0.058437543,0.224599291,0.123319176,0.068758636,0.755907209,0.213667504
PI655987,-0.098060515,0.048185032,-0.557407925,-0.176641302,-0.736060143,-0.627938554,-0.009401152,-1.017442503,-0.017668211,-0.89783394,-0.853773114,-0.129707819,-0.397294269,-0.055886633,-0.224410867,-0.033526227,-1.253054909,-0.77954443
PI533845,1.12407051,0.561231717,-0.653581494,0.690878698,0.060498559,0.156732526,-0.102728003,-0.234904774,0.075126727,0.175832094,-0.31051925,-0.080617073,0.510496061,0.336899696,-0.051702976,0.29513915,0.225635245,1.800301689
PI595745,-0.905050978,0.610341316,0.347559631,0.77554041,0.565314727,0.19310017,0.809001588,-0.583325393,0.721820692,-0.423674234,-0.565028006,0.691890602,0.897101973,1.39415648,0.119342915,-0.098580683,-0.18058825,-0.348177749
PI656009,-0.449628461,0.071049249,0.621488548,-1.363086446,-0.176422905,0.175081665,-0.220249452,-0.17215493,-0.582311481,-0.010270139,-0.537496389,-0.17916107,-0.144293055,-1.057743331,-0.187090528,0.33757484,0.143181026,0.184389803
PI564164,-0.208358937,-0.582707492,-0.573434021,0.692224269,-1.07152036,-1.513985945,-1.186682308,-0.033876671,-0.026504561,-2.169828881,-0.937868848,1.024102996,0.37384992,3.084814253,-1.037253263,-0.561451008,-1.932469534,-1.914744512
PI585291,1.014592873,-0.120305269,0.17115446,0.953088064,0.506862222,-0.003610124,0.813820875,0.321600014,0.82698443,0.457637784,0.287186789,1.119951751,0.971457834,1.633570769,0.240460856,0.19583918,0.535799988,1.927196207
PI534128,0.009754041,-0.387419913,0.205287171,-0.22715297,-0.208578552,-0.535559896,-0.019781392,-0.358923832,-0.238693248,-0.610595277,-0.593181266,-0.046527983,-0.273167273,-0.947448959,-0.265637395,-1.130270439,-1.164226804,-0.284460098
PI533913,-1.093047144,-1.018067825,-0.915042579,0.243713198,-0.160751173,-1.126688187,-0.090168902,-1.571336757,0.71292741,-1.826774628,-0.892930552,0.254525736,-0.485519908,0.393551555,-1.216062447,-1.379268875,-1.451462078,-0.368681644
PI656016,-0.039574095,0.210062306,-1.264321847,-1.899318644,-0.561617121,-0.276903459,-0.23423132,-0.465691932,-0.67251014,-0.465130575,-0.864187083,-0.376333163,-0.665748015,-0.134619965,-0.652434862,-0.316034673,-1.178710888,-0.297682425
PI613536,-0.604936921,-0.214007577,-0.705108465,0.445846593,-1.00283207,-0.710109014,0.212481243,-1.739554582,-0.293740037,-0.860138715,-0.672260223,-0.065503145,-0.520431249,-0.794335193,-0.610436602,-0.69864809,-1.549406227,-0.586765099
PI656077,-0.937268925,-0.313832297,-0.0001187,-0.488927845,-0.308495099,-0.110582244,-0.190925196,-0.959592783,-0.495701238,-0.286281247,-0.363754146,-0.11911011,-0.734942943,-1.463497029,-0.519187067,-1.648086249,-0.501096341,-0.719353724
PI597971,-0.568805949,-0.358191559,-0.528984616,-1.830739246,-0.78975091,-0.929309105,-0.857058565,-2.152327185,-0.910503111,-0.902378429,-1.320855055,-1.005649903,-0.853674348,-0.281606066,-0.48875384,-0.691004572,-1.585500949,-0.697489417
PI656106,-1.901042753,-0.329540329,-0.106524812,-1.077079649,-0.677143651,-0.660365002,-0.548009793,-0.924503785,-0.803702417,-0.690470711,-1.024614665,-0.730870008,-0.333473409,-0.614449146,-0.290102173,-0.757793809,-1.506636942,-0.585446247
PI533924,-0.249588851,-0.752230012,-0.414366453,-2.562014128,0.547334282,-0.699264939,-1.0525185,-0.877305798,-0.740025828,-0.639281055,-1.43405705,-1.284939048,-0.38085114,-2.236522378,-0.417095364,-1.121831858,0.526567558,-0.130302978
PI595702,-2.616878439,-0.763807455,-0.716251861,-1.960327748,-0.484456536,-0.588945947,-0.060856253,-0.424683419,-0.282361063,-0.629569472,-0.586971277,-0.408235058,-0.00036786,-0.35871111,-0.499800385,0.023497586,-1.802388738,-0.388970395
PI656060,-0.344983485,-0.59399429,0.665034585,-1.779556578,0.394203149,-0.775292532,-1.438069276,-1.948089352,-1.199218594,-0.478620976,-1.547752513,-2.240542901,-0.280223271,-1.472037301,0.005334866,-0.927439776,0.47650486,1.003375494
PI534028,-0.672650798,0.621489567,0.538713315,0.032753132,-0.119096501,0.162886392,0.432109853,-0.149949785,-0.710724242,0.1884423,-0.55888284,0.020611325,0.151834399,0.635375414,-0.156775249,0.093083367,-0.226621005,1.509011391
PI656113,-0.578041006,-0.208201528,0.125930851,-1.478622636,0.333557827,-0.063329359,-0.301498545,-0.336535647,-0.420576043,0.056782009,-1.178618083,-0.581825491,-0.003630783,-1.089006702,0.359580652,0.023939993,0.568743084,0.93531639
PI656069,-1.188646663,-0.155435564,0.447268199,-0.06325023,0.230999893,-0.686366764,0.28030384,-0.239218706,-0.455464923,-0.258676528,-0.645883411,0.01150858,0.082850894,-1.060536832,-0.014262842,-0.142013106,-0.037812507,-0.816802363
PI533759,-0.681339659,-0.497092241,-0.604883408,0.388655477,0.21686613,-0.239515927,-0.521731108,-0.359772545,-0.442571602,0.096586928,-0.608136116,-0.653777261,-0.073940566,-0.764102219,-0.239705426,-1.403181649,0.346319566,-0.523124364
PI574455,-0.531125438,-0.003404498,0.034411352,-1.044649488,0.31415043,0.187130003,-0.331437502,-0.118385595,-0.251924932,-0.008364991,-1.022024529,-0.486674407,0.151272135,0.046150616,0.107904112,-0.233438449,0.519485676,0.844403436
PI576394,-1.13084139,-0.938244492,-0.673102562,-1.759976661,-0.724129818,-0.954397693,-0.741310865,-1.33434266,-1.153688991,-1.283464369,-1.27458259,-1.016401674,-0.598803599,-1.392318032,-0.238199861,-0.101417286,-1.634498002,-0.863455041
PI534157,-1.359680654,-0.653248306,0.046815331,-3.058359784,-0.525937133,-0.707479144,-0.584238578,-1.80927138,-0.65429314,-0.481949033,-1.239700999,-0.819651813,-0.243795494,-1.248066905,-0.989404394,-0.981685539,-1.217340234,0.021470424
PI533997,-1.462199506,-1.450519505,-0.919025254,-0.629471961,-0.992808348,-1.683610929,-0.515828174,-1.821445905,-1.223561469,-1.87868143,-1.716618532,-1.258338417,-0.491354891,-1.405874305,-2.637432593,-1.909624751,-2.916663208,-2.077494015
PI533967,0.724493933,-0.295049416,-0.47084902,-1.334187069,-0.673826631,-0.417988314,-0.329245975,-0.646013026,-0.45861788,-0.160905881,-0.531066735,-0.965880634,-0.709108452,-0.336945057,-0.268549664,0.398861173,-1.287533196,-0.174499057
PI576428,-2.167674658,-1.350208302,-1.110278525,-1.033311111,-0.853983155,-1.600097833,-1.855321486,-2.485392018,-1.127383177,-2.59104499,-1.616006591,-1.597454392,-1.124898621,-2.128537969,-2.535672989,-2.859721707,-2.087578547,-1.102753015
PI655991,-1.77106903,-0.531332639,-0.195815105,-1.914290716,-0.653232349,-0.950605312,-0.607432792,-2.615998898,-0.899128549,-0.951749456,-1.264146869,-1.436595652,-0.48664842,-1.192049814,-2.187391152,-0.361766395,-2.002296382,0.638247148
PI534163,-1.379037391,-0.927103909,-2.130697557,-1.964636574,-1.622918727,-1.66848683,-1.244701582,-3.267806424,-1.445205262,-3.264980844,-1.92154774,-1.461098158,-0.60943409,-1.840748802,-2.775058105,-1.527806999,-3.23915499,-1.850385566
PI576350,-2.135395399,-0.85451792,-1.34513929,-0.15259635,-0.892797383,-1.011527809,-0.144787486,-2.101728417,0.350293361,-1.23388191,-1.106116542,-0.028648702,-0.149232916,-0.188227435,-1.701937818,-0.301600979,-2.016363466,-0.577469532
PI656075,0.995510289,0.56672355,-0.495968995,1.041996076,0.718202156,0.39214617,0.101255608,0.002471479,0.037312135,0.114457003,-0.747162286,-0.043064521,0.174825032,0.198539218,-0.035114829,0.434362835,0.415041389,1.010564592
PI533979,0.50421373,-0.220656367,-0.219942542,0.526147591,0.065125406,-0.485785735,0.336095199,-1.006019482,0.158141057,-0.036028865,-0.342057231,0.175433336,-0.179953061,0.264180673,-0.273031546,-0.060362572,-0.706142775,1.380449572
PI534070,0.510235599,-0.642106672,-0.652444579,-1.430964378,-0.791185501,-0.610453902,-0.216505985,-0.260381964,-0.179619002,-0.232523546,-0.526279539,-0.152794974,0.083783449,0.249329059,-0.673538325,-0.431232443,-1.487029035,0.121779033
PI656006,0.438223998,-0.573734752,-0.374328261,-1.59962405,-0.854609418,-0.345501,-0.126500033,-1.468853316,-0.229174105,-0.43743879,-0.920968468,-0.449336397,-0.179651424,0.086818019,-0.624335514,-2.29510016,-1.305864954,1.497192077
PI534148,0.777076762,-0.180436608,-0.849940197,0.674789991,-0.160520497,-0.504494445,0.837574961,-0.129918384,0.299872428,-0.883037157,-0.037352835,1.089053748,0.744805279,2.446738804,-0.278772165,-1.027188355,-1.321910294,0.709006449
PI656104,0.50065298,-0.437322352,0.332378821,0.579921805,0.215530534,-0.20347599,-1.282715258,-0.406123121,0.565187338,-1.285059958,-0.414978169,-0.618659463,0.398887368,0.677324193,0.067502861,0.187795448,0.277409997,1.748497266
PI597973,-1.946865897,-0.959049545,0.494474888,-1.975784126,-0.743686058,-1.4969428,-1.612631688,-2.164598349,-0.861875871,-1.074657893,-1.585594685,-1.756957452,-0.902641769,-1.800371658,-0.79750465,-2.289401376,-1.442621895,-0.279316979
PI597972,-1.921681294,-0.322809764,-1.080725339,-0.438417413,-1.227989019,-1.035120705,-1.001768604,-1.132271102,-0.727610276,-1.299127774,-1.501347102,-1.281832528,-0.471405812,0.049168742,-0.731054438,-0.953087802,-2.100686399,-0.282402726
PI656119,-1.855636839,-1.070198618,-0.958038495,-2.887177194,-0.878979051,-1.161641308,-2.320926812,-3.796597914,-1.029607595,-2.480081113,-1.621110518,-1.85848005,-0.662869289,-1.758999437,-0.654664528,-2.194218814,-1.787826521,-0.345336996
PI534096,-0.597275827,-0.778014567,-1.556515369,-2.298249856,-1.554597378,-1.641237001,-1.922337637,-3.478765293,-1.91170572,-1.949689114,-2.382527012,-2.904655392,-0.644309113,-2.712894995,-2.570609671,-1.797303082,-3.904887122,-1.601440578
PI533940,-0.822721068,-1.443743941,-1.074959453,-0.919002317,-1.796396167,-1.473130845,-2.287443617,-3.479244292,-1.742545218,-2.264941495,-2.66192973,-3.302824339,-1.414915306,-2.835245551,-2.923510808,-2.052975645,-3.533733023,-1.304233217
PI576386,-0.524721885,-0.646928092,-0.341727204,-1.289819667,-0.816772774,-0.544939157,-0.074791673,-0.518412344,0.13502924,-0.852622952,-0.831278429,-0.680544174,-0.443273588,0.568022227,-0.344166667,-1.112039656,-1.882971103,-0.077030096
PI534114,-0.609566967,-0.725693705,0.21365374,0.171709528,-0.126785484,-0.64114005,-0.35924415,-0.831398882,0.200798026,-0.230232313,-0.871245176,-0.696239304,0.052272899,-0.283441406,-0.432414021,-0.474158355,-0.098037016,0.170562301
PI534079,0.194935024,-0.22454542,-0.203688832,-1.577130437,-0.219471287,-0.791224789,-0.126607949,-0.815380905,-0.552612169,-0.793259034,-0.534675884,-0.363685511,-0.812173672,-0.302844066,-0.365077356,-0.903946413,-1.952773437,-0.239840393
PI533839,0.877203484,-0.805519462,-0.607894422,-1.182731991,-0.08195781,-0.737431816,-0.338935072,-0.699733168,0.09590382,-0.707135795,-0.641667794,-0.560023836,-0.540668195,-1.43537424,0.126549246,-0.22664278,-0.214351202,-0.514616019
PI659691,-0.82830398,-0.154231764,-1.071016538,0.153584772,-0.422128925,-0.025589031,0.194781666,-1.008546059,-0.220588048,-0.397822575,-0.517536526,-0.312108566,0.061286166,-0.443915544,-0.49386662,-0.430048104,-0.528930777,1.242658334
PI533785,-0.334298547,-0.99868385,-1.458724516,-1.41945659,-0.020782003,-0.578837982,-0.736800951,-1.062350522,-0.56470345,-0.241678311,-0.82625476,-1.187440793,-0.002306349,-1.939580664,-0.52469326,-0.592583948,0.350257079,0.213462419
PI561071,0.359336895,-0.005876019,1.123256422,0.775567398,0.090368383,0.22819149,0.212481243,-0.009774663,-0.362267138,-0.038107658,-0.162344306,0.133038745,0.350079717,0.251705225,0.107426672,0.100598799,0.247002664,1.391951623
PI597965,-1.153747014,-0.41992034,0.026245305,-2.599745462,0.5216942,-0.418481507,-1.160409143,-0.800444935,-0.488674008,-0.26080576,-1.213608309,-1.958401355,0.049419367,-1.620459801,0.033680698,-0.538581738,0.569182544,1.459840602
PI533919,0.344220886,-1.044105801,1.029376301,-1.338918336,0.386990486,0.052742813,-0.06735566,-0.513363623,0.10500842,0.591117676,-0.704129057,-0.616519525,0.090801828,-0.060569107,1.003068964,0.484418743,0.28633256,1.462995096
PI656092,0.730536405,-0.37137141,1.046513967,0.106968241,0.427923258,-0.086676723,-0.673907958,-0.726694651,-0.108459138,-0.088933769,-0.747078218,-1.191549386,0.013676684,-1.232139849,0.521223609,-0.464918797,0.257932322,1.405691363
PI533965,0.54241356,0.120320188,0.13629911,0.537508572,0.523481174,-0.28647291,0.263774538,0.228191818,0.301195658,-0.180844573,-0.231320312,0.383326171,-0.155090809,-0.734578735,-0.170811147,-0.229016637,0.092960053,-1.174686253
PI533863,-2.057014054,-0.998866391,-1.914884515,-1.58653906,-1.673699711,-2.056411315,-1.935315178,-3.327263478,-1.92739891,-2.551998999,-2.19205525,-2.141992112,-1.261548148,-2.020523535,-3.585305235,-2.950662008,-3.717548519,-1.495912963
PI533989,-0.977697713,-1.158684495,-0.753411733,-3.78366032,-1.037329167,-1.471122777,-1.867928907,-2.950949327,-1.332107758,-1.564671881,-2.263827615,-2.695884291,-0.350864614,-1.28358737,-1.646632572,-1.101066968,-1.905661218,-0.478506712
PI564165,-0.828500167,0.162975353,0.933377689,1.174670742,-0.404685872,-0.078833545,0.623777272,0.392301803,0.391558958,-0.134328846,0.01833983,0.467224244,0.364974236,1.055004447,0.030332211,-0.788846708,-0.525015102,0.468845573
PI548797,-0.183671817,-1.321386036,-1.52456653,-2.07478608,-0.303898345,-0.684901487,-0.865394592,-1.721053459,-0.722121699,-1.004637073,-1.195491351,-1.165471037,-0.827428666,-0.714586014,-0.945979002,-1.133357882,-1.091267097,0.074596565
PI534123,-0.262871435,-0.718503512,-0.384503341,-2.257525499,-0.909097013,-0.819628945,-0.965777077,-2.375190968,-0.269189919,-1.484325388,-1.067561457,-0.90093601,0.306553378,0.688724445,-0.789928078,-0.915337571,-2.295401352,1.072420833
PI656040,-0.838627565,-0.16979427,-0.801063749,0.76161571,-0.621458077,-0.230383443,0.229872986,-0.305686092,0.571783701,-0.541366703,-0.320794788,0.210911782,0.284891561,0.899032252,-0.2739953,-0.531965719,-1.072643513,-0.019181332
PI533972,-1.185377044,-1.119520169,-0.768971709,0.43350473,-0.862835037,-1.308652475,-1.585365452,-1.285615384,-0.275396941,-1.150354117,-0.974009768,-0.529318084,-0.633855765,-1.741540958,-0.517673217,-0.539769698,-1.407740676,-0.544555061
PI656001,0.397064417,0.358205464,0.396354143,0.576228667,-0.054369062,-0.386355933,0.28846715,0.377645214,0.54699659,-0.184285482,-0.048387116,0.487229214,0.506034701,0.550013196,-0.230609119,0.027901982,0.11544151,1.519978363
PI533956,0.216017657,0.425246289,-0.035782123,0.887830262,0.550167188,-0.126842764,0.388937681,-0.054058326,0.443487378,-0.076052004,-0.363998288,0.075939811,-0.154867568,0.427293987,0.239407921,-0.704422537,0.191847327,1.145270139
PI576345,-0.218324761,0.190896317,0.019983294,-1.203696609,0.110569665,0.34725085,0.01065008,-0.299004895,-0.26707023,0.103649131,-0.189919048,0.121062135,0.039428293,0.59125508,-0.160202151,-0.673332656,0.236381307,-0.367476522
PI595720,0.160163936,0.292655034,-0.899257209,0.533206549,0.292546163,0.017896081,0.167630677,-0.608262738,0.114525717,-0.248696882,-0.26653606,-0.036201956,-0.05337357,0.083411415,0.12961463,0.159788106,-0.690949007,-0.025152616
PI655996,1.292010712,-0.238551423,-0.142482593,-0.317251711,0.190234413,0.003610124,0.176763161,-0.116347235,-0.595977833,-0.027965256,-0.416177656,0.027602931,0.475667396,0.734241459,0.584088945,-0.403946659,0.298165854,0.917044428
PI656091,1.49265507,-0.41428269,-0.230062394,0.215412814,-0.07881136,-0.221333608,-0.410480642,-0.556926754,0.141418973,-0.465742091,-0.63662059,-0.824469187,0.1923768,-0.245138322,0.390684206,-1.015124488,-0.395044613,1.425632933
