,A,B,C,D,E,F,G,H,I,J,K,L,M
PI576337,2.305086,-0.156305259,-1.079341468,2.32172248,1.142647285,-0.062059421,0.170696825,0.058501988,-0.054325649,0.100802513,-0.064909028,-0.152804623,-0.576990636
PI534139,3.716531104,-1.164879343,1.602961617,1.463976952,1.315387459,0.459948947,0.191617871,-0.511886238,-0.40224912,0.698385074,0.127019359,0.85077248,0.4521964
PI576347,3.718160185,0.310329365,1.315459786,3.161817083,2.577365218,0.508859369,0.7622784,0.001123275,-0.531138627,-0.055867604,1.066266742,2.008926165,1.318646427
PI533841,1.216210329,0.673181482,-1.894746642,2.23606047,2.580904516,0.588243933,0.443091236,0.633422538,0.043139527,0.448597201,0.45802473,0.121238384,0.604605179
PI656082,1.160968579,-0.762073153,-1.239840447,2.826080798,-0.154777314,0.199079921,-0.213359568,-0.7926329,-0.686614475,-1.127223049,0.290268708,1.069404838,0.351319445
PI655983,1.398039537,-0.18092666,0.178482119,1.265925581,2.56219177,-0.499988282,-0.227520152,0.4411567,-0.294338577,-0.776868367,-1.614215009,-0.742753806,-1.824764121
PI561073,1.561142235,-0.622038906,-2.431034381,0.990877612,0.368562878,0.589308325,-0.819336977,-1.045562984,-1.231067868,0.354209891,0.283812093,0.24409879,0.197754305
PI656052,3.084890836,-0.041667146,0.75537117,1.306116955,2.455648342,-0.03905564,0.031925674,0.546887919,-0.250339189,-1.679946816,-0.107105213,0.817204912,-1.43042285
PI533940,3.531826002,0.616372275,1.152656471,1.297787562,1.431689204,0.30400716,0.662971019,1.155696618,0.521222834,0.950858563,0.427131283,0.171722753,-0.331788394
PI533902,3.807326488,-0.339227223,0.223022202,1.752474853,2.642537935,-0.022549562,0.352632866,1.225361747,-0.13497494,-0.532176459,-0.105517295,0.06372679,-1.075506739
PI533948,0.836079664,-0.515480463,0.294094492,0.833997229,2.094465166,-0.123945921,-0.352405402,-0.512355605,-1.175103986,-1.360655684,0.201646135,-0.204478788,-0.592926365
PI534105,2.692754834,-0.3396674,0.347051404,0.891444342,2.440760866,-0.84395059,-0.832838965,0.228195688,-1.233481851,-1.909497858,-2.36796483,-1.04467975,-1.564228364
PI576386,1.813148527,0.744734626,0.927013516,3.707883187,1.480554562,0.826368195,0.827935249,1.210882698,0.486911379,0.465393741,0.046357741,1.327361065,0.801655928
PI533845,3.763102487,-0.498585555,-1.464427163,0.253817384,2.025381199,-0.634144582,-1.438712096,0.934190147,-1.298277872,-2.43643707,-2.802462012,-1.059179524,-1.340002693
PI576391,4.13247504,-0.158746845,-1.169738344,2.361630033,2.592490929,0.408105976,-0.093335104,-0.212090599,0.371863436,-1.093670222,0.488870249,0.119959936,0.376493717
PI656069,1.903956301,0.078562389,0.556188935,3.088550427,1.068436911,0.332802456,-0.205552228,1.032119446,0.922315868,0.760076549,-2.345158549,-0.234708535,-0.93748331
PI656066,1.397575017,-0.484524849,-1.972676714,2.007028166,1.747963016,-0.043288253,-1.517926082,0.075860807,-1.106293,-2.066774021,-0.290333462,-0.427945944,-1.150888173
PI533785,2.347939519,0.822565351,-1.811256108,2.828493408,1.221782813,1.256662328,0.371950261,1.859525239,0.828671346,2.352838754,0.151418848,1.489291672,0.475716643
PI656098,3.964788685,-0.747797822,-0.767158559,3.258070993,0.228031027,0.448332957,-0.629720022,0.142326217,0.015259907,0.658273177,0.208429148,-0.066379016,0.096534216
PI595720,2.176800609,-0.767668874,-0.949624338,2.270089774,2.205515514,0.834575246,-0.381828042,0.5895183,0.154185737,-1.525538779,0.384946564,0.341364999,0.366861173
PI656068,1.840742019,-2.941080821,-2.095742319,2.183638095,1.402455518,-0.103982818,-2.437456179,-1.520684735,-2.546194426,-2.107844048,-0.375149043,-0.899939173,-1.682731358
PI651496,2.66348405,-1.542834639,-0.177332196,0.945023362,1.896787058,-0.059647034,-0.930097273,-0.027132923,-0.786305067,-1.793405153,-0.213299756,-0.182453944,-1.506888458
PI533964,2.643036195,-0.688437383,-1.338714802,3.362228634,2.124765084,0.401605812,-0.432908432,0.792098072,-0.839275517,-2.024675081,-2.544048586,0.300337952,0.090933537
PI533807,3.30214754,-1.255291864,0.385303671,3.594840596,2.066542852,0.67533753,-1.24023832,0.792885711,2.081120044,1.629629495,-2.186881641,-1.293311474,-0.451677583
PI655989,3.530278579,-1.735035962,-1.493589393,2.855208738,1.148253924,0.072192176,-1.265119563,-0.577181653,-2.012962517,-2.435401844,-1.77573353,-1.322784542,-0.784032764
PI656088,2.787137954,-1.155496497,-1.773519784,1.966624829,1.860686556,0.900260987,-1.328935504,-0.365774759,-0.790953674,-0.916875312,0.323501873,-0.076316912,0.299587507
PI576376,3.357301224,-1.499726667,-1.509728569,1.390662773,1.476231415,-0.230409072,-0.902529465,-0.492274214,-1.063667013,-3.322784879,-0.238328724,-0.118395829,-1.023193996
PI534075,3.525120992,-0.024433817,-2.530609019,3.406626644,2.569925852,1.243583907,0.010260737,1.840914726,0.73057854,0.299141928,0.470035823,1.004709824,0.652134733
PI656105,2.340855182,-0.966838716,-1.896421029,2.161103036,2.723304129,0.373753147,-1.006816203,0.73190623,-1.2102265,-2.848495058,-0.478442886,-1.010052686,-1.870701773
PI656090,2.331371765,-1.15254169,-2.730021653,1.01824004,2.601778702,0.60008347,-0.595633075,1.272376743,-1.587776756,-2.806644472,-0.391185079,-0.9113999,-1.20521017
PI656108,3.453007698,-0.371148059,1.056946879,3.64370365,3.261295509,0.151880124,-0.329573844,1.363644278,2.952388105,3.198616909,-0.544376823,-0.46565836,-1.777381097
PI597965,3.021612761,-2.29980832,-1.897191875,0.936065636,0.547596499,-0.028548709,-2.056102892,-0.431468227,-1.539304458,-3.038401713,-3.061996624,-1.024410477,-1.732927367
PI656022,3.293855838,-1.04901863,-0.326370383,3.178379399,1.554667516,0.360760109,-1.422235433,0.556999785,-1.108929458,-2.567200852,-3.184353429,-1.466449738,-2.142183583
PI585291,3.160881046,-1.051963288,-0.344541502,3.281146155,1.856915333,-0.333426922,-0.991791368,1.016876717,-0.604869166,-2.062402951,-3.834336669,-1.500057537,-2.288877197
PI656048,2.999598724,-0.794621962,-2.222057975,3.021275763,2.688964981,0.388477635,-1.062982418,1.139366741,-0.028849304,-1.591703845,-3.642991932,-1.196120633,-2.18407879
PI533866,3.365457925,-0.412487501,-3.096136649,1.942622435,1.748989504,0.172777062,-0.387645116,1.129869841,-0.225050019,-1.347504089,-0.474008915,-0.699416014,-1.806541672
PI329435,2.694987202,-0.352793494,-3.466688979,1.735048902,2.430810339,-0.634583789,-1.079817744,0.992758981,-0.357100035,-2.197625371,-3.592672627,-0.903537134,-3.098227466
PI656113,1.809009432,-1.424266762,-0.640745585,3.727260739,1.35098799,1.226152945,-0.885983683,0.110273702,-1.220140008,-1.895849817,-0.658676046,-0.703540426,0.320795217
PI656071,3.058328643,-0.076791573,-3.524846405,1.625828027,1.979606342,0.616121402,-0.785891849,0.874274395,-0.361538849,-1.881680493,-2.540582289,-0.798745516,-1.633851085
PI656025,3.511550314,-0.623119541,0.317613246,2.325998471,1.259479431,1.03758245,0.329509497,1.15813528,3.100033566,2.49980219,0.252211604,0.788830187,0.591058629
PI656074,2.831189771,-0.663450838,-2.587808272,2.473526221,1.839063749,0.049539409,-0.882197315,0.431452376,-0.992437281,-2.912976595,-2.265405773,-0.324327109,-1.806478323
PI597958,1.140415996,-4.442496931,-4.509443524,-0.554767576,-0.22986088,-1.105295823,-3.10347904,-2.163476263,-2.370351029,-4.415834303,-4.736981698,-3.683392868,-3.753473681
PI656015,3.839238533,-0.655103985,1.030879846,3.114290613,1.687690741,0.647160615,-0.341126545,1.120054232,0.021951741,-1.599009205,-0.012015946,1.705179905,0.192291066
PI641836,2.77014019,-1.683464293,-3.697814039,2.428583997,1.707256202,-0.558582145,-1.076689372,0.24577336,-1.244208381,-3.420114354,-3.900148552,-1.653793495,-2.609355242
PI533762,3.583212999,-1.165787991,-2.664383176,3.607914626,1.878343507,0.794396718,-1.009341721,0.395465734,-0.629831617,-2.495116467,-0.183298617,-0.12677595,-0.377701636
PI534135,3.386636271,-0.952444827,0.894020362,2.965856325,2.392356915,1.22680099,-0.335898694,0.817964152,0.459839666,-1.674886151,-1.607309592,-0.298556374,0.703301833
PI656057,3.886467983,-0.863061515,1.238478959,3.699242195,2.133801847,0.935170996,-0.210902486,0.607355848,-0.780962448,-2.759536921,-1.358215119,0.57044623,0.466293503
PI533759,3.89090169,0.207726581,0.920474752,4.782911433,2.699575727,1.286771556,-0.12696584,1.746078159,0.00861494,1.337055631,-3.238876879,-0.540299509,0.49833608
PI533814,3.390329104,-1.399054882,-2.354227397,3.737364216,0.440485401,0.998260313,-0.396462536,0.367899278,-0.643395373,-2.459919872,-1.285237284,-0.576327859,0.25270978
PI534097,2.866259074,-1.667438653,0.016340146,3.018168861,1.64371555,0.239810082,-1.208607733,-0.922920053,-0.508746548,-2.986396084,-2.343593933,-0.417984423,-1.39523157
PI641874,3.597785125,-0.366255489,-1.874339431,2.846954716,2.62285791,1.221331694,-0.110334801,1.357177695,0.831395692,1.048162093,-2.086736766,-0.493766853,0.564251216
PI576345,3.555015392,-0.641765542,-2.809425299,3.656470735,2.620608168,-0.022384664,-0.602732542,1.133074109,-0.383134479,-1.428220705,-4.262671797,-0.762895773,-1.637415911
