,PC_18_3__0_0,PC_18_2__0_0,PC_15_0__0_0,PC_17_0__0_0_1,PC_18_0__9_0_CHO,PC_17_0__0_0_2,PC_18_3__18_3__PC_14_0__22_6,PC_16_3__16_0_PC_14_0__18_3__PC_16_2__16_1,PC_16_2__18_2__PC_14_0__20_4__PC_16_1__18_3,PC_16_1__20_4__PC_16_0__20_5__PC_18_2__18_3,PC_16_0_20_5,PC_16_1__16_1,PC_16_1__17_2__PC_15_0__18_3__PC_15_1__18_2,PC_17_2__18_2__PC_15_0__20_4,PC_14_0__18_2_PC_16_2__16_0,PC_16_2__18_2__PC_16_1__18_3__PC_14_0__20_4,PC_18_2__18_3__PC_16_0__20_5__PC_16_1__20_4,PC_16_0__20_3__PC_18_1_18_2__PC_18_1__18_2_1,PC_16_1__17_2__PC_15_1__18_2__PC_15_0__18_3,PC_16_1__17_1__PC_15_0__18_2,PC_18_2__18_2__PC_16_0__20_4,PC_14_0__18_2__PC_16_2__16_0,PC_16_0__18_3__PC_16_2__18_1,PC_16_0_20_4,PC_16_0__20_5__PC_18_2__18_3__PC_16_1__20_4,PC_18_2__20_4__PC_16_0__22_6_1,PC_16_0__20_3__PC_18_1_18_2__PC_18_1__18_2_2,PC_17_1__18_2__PC_15_0__20_3__PC_17_0__18_3_1,PC_18_1__20_4__PC_16_0__22_5__PC_18_3__20_2_1,PC_16_0__16_1__PC_14_0__18_1_1,PC_16_1__18_2__PC-DAG_16_0__18_3__PC_16_0__18_3,PC_17_1__18_2__PC_15_0__20_3__PC_17_0__18_3_2,PC_16_0__18_1_1_1,PC_18_1__20_4__PC_16_0__22_5__PC_18_3__20_2_2,PC_18_2__20_4__PC_16_0__22_6_2,PC_18_1__18_2__PC_16_0__20_3,PC_16_0__18_2__PC_16_1__18_1,PC_16_0__16_1__PC_14_0__18_1_2,PC_18_2__20_1__PC_18_0__20_3,PC_16_0__18_1_2_1,PC_17_1__18_1__PC_17_0__18_2_1,PC_18_0__18_3__PC_16_0__20_3__PC_18_1__18_2,PC_18_2__20_4__PC_16_0__22_6_3,PC_18_2__20_2__PC_18_0__20_4__C_18_1__20_3__PC_16_0__22_4,PC_16_0__16_0_1,PC_16_0__18_0,PC_18_1__18_2__PC_18_0__18_3__PC_16_0__20_3,PC_17_1__18_1__PC_17_0__18_2_2,PC_16_0__18_1_1_2,PC_16_0__18_1_2_2,PC_18_1__18_1_PC_18_0__18_2,PC_16_0__16_0_2,PC_16_0__18_1_3,PC_18_1__20_1__PC_19_1__19_1__PC_18_2__20_0,PC_18_1__20_4,PC_18_0__18_2__PC_18_1__18_1,PC_18_2__20_1__PC_18_0__20_3_1,PC_17_0__18_1,PC_18_1__18_1__PC_18_0__18_2_1,PC_18_2__20_1__PC_18_0__20_3_2,PC_18_1__19_1,PC_18_0__20_2__PC_19_1__19_1__PC_18_1__20_1__PC_18_2__20_0,PC_18_0__20_2__PC_18_1__20_1__PC_19_1__19_1,PC_18_1__22_1__PC_20_1__20_1__PC_18_2__22_0,PC_19_1__22_1,PC_18_1__24_1__PC_18_2__24_0,PC_18_1__24_0,LPC_18_3
PI656032,77.28487,1496886,5392.7617,8089.34,23168.162,23282.59,510573.1,153281.33,44837.47,210534.97,12024.513,7021.983,182948.16,39373.496,400350.56,559916.6,404878.22,40294.082,236566.6,19862152,234684.6,28793348,2845475,1012412.9,80282.086,1012412.9,185947.52,68141.84,255560.61,6219.8823,180200.62,190614.72,2227.1206,5005858,69828.945,171056.86,18076396,97146.3,14205128,336819.94,336819.94,94074.96,1432719.6,1051677.4,98248.94,16696.531,2670956.2,58403.047,1386753.1,1129915.5,23910.951,71483.414,103156.875,37199.99,128830.73,122676.71,238381.06,5570.0737,33243.33,167568.94,4269.6797,55207.535,186562.67,21504.791,22165.424,339026.2,6705.249,8089.34
PI642791,130.62234,1269254.1,3164.9172,16234.195,96133.24,3563.499,20581.398,4846.6606,5901.3887,4846.6606,11503.954,6853.035,165955.34,19034.748,126524.445,99957.41,111126.51,23928.434,11977.842,15265767,148819.56,20021408,1866335,1679198.4,648036.44,1801579.5,167755.06,2493.431,133508.17,10795.315,95936.12,90428.74,13322.542,1863959.2,36688.375,82394.305,7325026.5,107878.51,8770957,841378.94,629759.94,19358.936,521842.2,1048384.7,55156.67,36531.676,607743.56,13345.8,421215.78,545967.5,20430.219,18787.162,80243.98,9340.688,18839.34,12833.218,35824.73,2796.6372,2164.005,4764.541,35780.953,6515.9155,49145.348,1673.4441,2295.2358,54519.133,3484.5396,16234.195
PI656053,899.95245,4153773.8,39485.086,16902.275,159049.39,3761.3242,90754.07,2495.85,35265.89,64301.94,60189.816,25594.082,269069,62822.566,209430.77,128236.39,65750.695,10387.7295,94837.19,14386601,966920.5,29125764,891541.25,24468.11,3758705.2,2456107,1016.67114,2136.7227,135762.86,4286.4766,129569.1,60716.234,1766.5198,1395203,63989.46,3871973,7109721,146426.86,11867298,655208.3,176.75632,820622.25,482859.16,1367689.1,47495.938,80322.01,747408.06,30967.375,949570,792999.1,62926.88,25598.912,149989.48,17374.69,41729.676,24583.287,90231.914,5286.486,14378.849,86843.2,3673.7144,10808.821,80443.95,1122.4409,6951.6025,81527.734,663.5697,16902.275
PI656001,296.60287,846535.06,3000.0781,87283.93,169188.11,2305.4631,32240.027,8671.658,30558.186,26856.701,6602.4365,32900.22,245059.02,107330.77,104898.2,179609.27,157838.22,20426.523,52570.01,12281462,216844.56,9411410,1726294.8,1303819.1,975450,1097581.2,120844.32,1420.2041,158034.88,7299.3047,108566.875,31308.506,5069.8086,2391806.8,47038.18,89584.31,7063315.5,117019.81,5875425.5,691205.5,712221.44,173966.66,871025.6,740875.5,42622.76,34030.977,523953.06,26720.12,529550.56,661098.8,10620.478,23051.098,84964.95,14111.494,11838.759,22528.23,34022.19,26228.47,1080.5459,12573.481,57236.492,6272.3467,74994.484,8747.6875,11217.543,58945.285,7652.2656,87283.93
PI534101,486.28793,1768579.5,5349.0576,77147.234,333119,5258.244,22692.018,6138.094,26744.375,6138.094,3015.5786,25973.78,307499.12,11606.551,226523.08,77372.85,219330.9,26489.227,23424.46,15444123,53825.16,18838964,2823362.2,1377259.2,139355.4,1377259.2,42410.812,7245.638,207727.28,2556.9329,184234.62,112147.195,17589.14,3208899.8,169598.34,257195.73,10148042,45351.633,2799022.5,433568.84,433568.84,37491.676,552034.5,926217.75,51917.402,53402.52,981954.9,21043.479,1122270,523446.1,22963.838,8225.803,43154.992,8259.742,10153.229,3032.4473,20571.258,7487.656,19067.037,39546.05,3214.1406,28566.23,75872.2,674.4325,2007.0483,112965.46,2941.6877,77147.234
PI656012,113.46915,1483242.5,4673.174,4835.951,45356.83,56237.332,19378.018,74001.34,58286.957,21780.67,26818.646,39931.48,496749.16,29369.197,316661.34,403862.75,422841.4,46555.035,172188.17,14987560,161034.23,37525764,2891457.8,1408115.6,843170.6,4486116,521117.1,69763.78,170901.4,32326.912,306827.78,204930.1,50924.285,2624147.5,103226.55,162850.23,14719557,503032,24978464,1803990.2,60886.58,17261.283,884024.3,4626448.5,60020.535,340838.53,1794091.5,56252.863,911220.6,1679355.8,1411.9722,39255.242,280507.62,12662.27,91298.875,73750.87,161656.88,2878.443,17079.1,242202.95,7328.7583,56779.78,229059.02,14474.986,7512.8267,494862.66,17472.115,4835.951
PI533902,57.787254,896038.2,3667.996,69439.58,118864.68,1410.2369,8917.226,2073.7246,17773.021,2073.7246,3549.7861,21788.867,133511.08,93400.12,64163.69,78489.266,51833.85,3524.2112,20374.697,9166660,274950.38,8116872.5,1237854.9,313345.47,115409.04,676111.94,31863.426,517.2088,111122.33,1182.6132,70713.016,41489.293,1387.8208,1204636.9,20684.719,95430.125,4537982.5,50791.21,3326351.2,2149.8303,33421.758,15032.238,424957.75,485440.72,49303.434,65980.25,237972.7,12975.25,218595.12,166765.81,6552.384,6498.903,4894.1523,11097.338,7964.313,11097.338,21964.6,28701.996,1880.8063,1560.6404,46233.254,4021.1538,44648.586,1297.7017,884.4077,3403.6965,3513.535,69439.58
PI534099,239.13577,1326710.9,1361.5471,5889.185,62557.254,13907.686,28668.357,8068.3086,30279.666,8068.3086,33093.492,25934.336,268943.22,27671.09,172404.55,182159.12,170897.62,4618.717,18626.19,10664667,104885.195,11716178,703314.9,2671711.5,188622.55,1710791.6,180079.2,1227.133,80127.22,13749.825,91236.72,45700.28,19859.562,1350504.4,93923.97,170189.1,4451391,170190.61,10894115,231387.42,13743.633,83107.05,619346.06,1650145.9,84790.83,323273.66,862107.1,20189.738,417331.03,973693.44,10589.123,23170.283,191337.3,25649.387,45879.855,12518.315,48469.816,6998.7407,12724.605,44877.055,3875.3289,27940.54,53394.074,2369.0251,1318.0756,71672.375,10295.275,5889.185
PI533998,94.40729,1532764,9294.211,9976.632,46447.51,123332.484,122914.65,113573.336,62796.855,54032.465,82546.266,52929.566,472342.75,59602.945,257800.16,441118.9,334859.44,73874.16,300683.34,27572300,174451.1,43606344,1656614.2,2012328,351908.8,2638704,331188.44,94460.734,391134.2,37000.566,331303.2,175899.1,22760.018,7752891,61116.89,308537.9,28854814,242214.81,26058700,1743429.6,2173.0137,133740.5,1825875.4,2791602.2,162296.05,86378.42,1846605.6,81925.336,1196034.6,1328015.8,24638.504,80227.09,304048.9,24215.715,129139.37,99583.53,119520.375,5788.3213,25066.576,214262.75,16730.45,47469.293,285184.72,29745.225,61728.266,487800.84,8916.834,9976.632
PI656058,1015.6763,4560410.5,35775.9,33274.035,144235.61,900.54236,10594.954,3213.5576,13137.406,17236.936,25839.043,16947.36,128674.125,46269.66,131613.78,3526.8796,81797.516,22441.86,44442.082,5841117.5,792327.2,9250751,576879.2,23828.787,768999,685859.9,11711.656,1008.72516,76043.96,1160.7231,60662.21,15248.438,2185.5361,733398,66212.41,305773.9,7668053.5,59800.906,5167840,356446.3,181.50146,323086.2,288931.47,737278.94,271591.38,10150.021,322932.22,9680.803,432370,691767.3,14711.899,3279.5251,64465.01,5244.0483,7444.73,7677.738,32161.826,11209.511,10241.373,35136.688,3323.3025,1584.1433,34898.137,1072.625,442.5241,50100.645,1175.3048,33274.035
PI533979,235.27905,2002258.2,30608.32,101416.36,188323.36,29408.658,30665.176,4682.1777,12388.398,4355.0327,23210.143,26324.143,137364.4,25091.312,97285.96,127452.3,82840.07,6509.7515,11787.434,12907691,251427.42,8520653,1662027.1,32967.4,153188.62,1236893.9,93845.34,1801.565,105785.28,7942.484,93493.29,63709.664,5515.4575,1751115.8,113784.52,167070.88,5205398.5,104952.43,6830788.5,1160053.2,936019.25,12071.139,696258.25,753870.5,31783.625,53121.227,419423.2,24707.873,265837.9,438581.44,9233.431,12509.748,30425.387,7392.5693,12212.315,26151.781,32609.072,8482.09,12037.589,14746.736,3728.5928,20848.107,56281.36,7608.4585,1796.3721,48651.918,7616.2314,101416.36
PI533956,1642.8496,2607582.2,24450.016,47061.445,141169.94,6589.9507,44027.32,5628.9546,23735.002,5628.9546,31551.344,31336.838,262051.2,63318.137,406834.16,252223.19,237326.16,22892.31,24511.775,13641937,117564.81,12162370,638372.75,1753361.1,1114273.4,2009016.1,290495.4,2607.8513,179129.95,8681.547,102055.39,90031.09,17611.092,1585277.8,14668.699,195486.34,5166259,130630.516,6563086.5,269486.16,2363.5479,43028.535,899207.25,787356.3,66905.33,138931.52,530045.2,14182.92,426486.53,415596.44,6471.7393,24572.309,97012.28,8808.008,20349.467,8808.008,54436.234,11503.277,12651.875,40984.953,3419.2026,22713.635,55381.51,6013.9463,9688.952,56546.79,7955.504,47061.445
PI576386,79.186295,1681113.4,4418.919,16203.816,67304.35,3311.9333,4988.6255,4145.3145,14595.504,1506.0651,2734.985,16057.965,89690.56,15052.267,36881.746,59736.473,43455.926,14297.406,15498.005,8553499,175374.44,8031245,463453.44,372316.66,137371.3,512069.53,21276.148,522.56573,75386.87,1353.4924,73673,18466.312,2050.1638,743992.5,42506.816,96052.516,3218941.8,33508.02,3015660.5,321210,52896.082,133083.34,559063,365171.6,17410.943,9598.773,387261.1,20939.766,76464.46,255806.62,3628.54,5637.953,6814.7217,2152.5286,7122.888,9566.236,30370.004,13646.732,14158.548,14954.136,16564.39,5216.69,36016.984,1771.419,1789.019,14938.725,5333.557,16203.816
PI656027,172.73715,1034123.2,3775.068,7156.979,104286.69,12689.849,36110.78,87150.23,43750.62,45828.61,11390.535,27833.697,303395.84,19116.86,361949.56,223417.12,218517.55,36409.062,108181.164,9941783,90804.34,28880356,2249483.5,1395238.8,1080470.4,3254141.2,581959.6,66051.98,163860.94,37678.406,235665,90969.734,30104.787,960979.9,15686.768,70622.43,8213308,532151.3,14793706,1237330.8,28035.043,38643.484,623025.4,3684696.2,68482.77,331943.06,1363984.9,46232.434,300467.1,1321309.4,115015.875,34452.41,317989.44,47416.652,93242.24,69750.45,138377.02,2383.801,3913.6577,359318.72,9438.995,64530.715,178899.06,10611.593,18355.875,345255.84,13679.633,7156.979
PI576422,1081.4478,1854077.8,8246.279,116640.766,267243,45329.504,38682.797,5271.5205,8759.324,5271.5205,17492.996,5826.075,284918.62,17195.69,251315.81,34481.855,131685.16,25901.742,17365.08,19704586,67943.94,16288355,1044957.56,970331.75,56668.742,642658.1,22409.408,1525.7762,127919.08,147708.25,156723.3,98561.22,815.5391,2806503.8,120536.37,23153.027,9829789,37888.297,4037125.2,151040.61,151040.61,28023.855,455175.47,274112.28,1947.543,266930.88,470392.53,14410.176,111398.03,377374.03,3607.5127,21581.545,22422.799,7363.9536,14254.205,20090.746,4854.5645,23997.957,7247.4624,6748.9883,22794.014,1893.5875,53325.312,703.72174,1193.323,76726.016,1004.5167,116640.766
PI651496,143.57141,1589351.8,2229.4795,3065.5288,37330.535,27549.537,6943.6436,5172.4717,29909.72,19197.09,36782.81,6724.6997,204481.12,5096.5605,206650.39,92481.72,176782.73,26108.81,62567.133,10676270,237983.39,20007600,984164.8,1476689.9,364067.8,1474699.8,103633.34,29381.416,132359.56,17942.973,122787.47,69006,5966.15,1055216.1,135204.23,68864.516,6096387,63544.047,9381179,1164201.5,2399.6748,34460.938,500178.97,672261.1,11226.039,8057.3105,996764.4,31069.469,479235.8,681245.75,17530.303,27221.588,39420.08,8885.022,67087.32,33752.453,88989.06,2209.5642,17948.906,78439.85,10190.031,33603.35,79257.34,11377.978,7895.078,193890.73,1959.2018,3065.5288
PI595720,227.88089,2586790.8,39316.297,41132.414,133501.23,2870.5981,30882.406,2373.697,16391.766,23191.252,23523.62,30866.04,229510.47,34892.53,84736.2,108458.84,85395.55,2228.3835,25006.646,10947442,316705.66,14053808,1436954.5,1489960.8,172259.05,1552744.6,85415.164,4776.702,103668.914,3799.0947,65815.15,42092.008,12201.521,1417107.6,19687.85,90298.766,5700980,132459.67,5514996.5,4038.803,68618.43,17784.65,660314.75,733464.44,30364.182,34143.754,570989.3,21147.53,293306.34,498162.16,6608.9043,13376.777,32981.574,25338.545,30842.229,16466.588,48775.918,8842.899,8283.398,25089.229,4654.122,21320.035,68673.234,1865.7412,1559.7693,51898.562,3691.4392,41132.414
PI655997,198.58887,1198413.2,4594.388,19911.277,32984.25,4991.06,6148.8096,3479.6057,23372.344,2992.1914,20804.848,19652.371,177454.14,16150.289,203080.69,375540.12,216333.53,16236.92,24244.352,14570092,157453.89,10930091,208603.34,286013.72,401418.12,761675.4,28597.967,3038.5469,197784.16,3648.6643,87099.445,15231.715,12603.035,2603678.2,81827.9,215621.1,5905762.5,44700.48,5067403,150224.45,74078.9,79775.98,1025885.7,127359.59,26241.314,122202.1,443173.9,14561.633,498425.34,340338.16,3071.5688,13381.704,24323.355,12212.248,5664.8853,5485.5073,40503.34,14429.357,20268.46,8888.956,20210.318,34679.953,58437.875,7974.4136,2554.678,100402.734,5504.87,19911.277
PI656025,52.33123,911681,2892.9968,10226.458,59444.746,45747.457,57853.805,101863.28,44941.4,53616.766,52526.918,32148.29,444523.9,29665.828,291206.5,213509.12,206732.62,46751.223,176744.88,16041140,85694.66,37175004,1301232.5,1194215.2,92718.81,3061688.2,37716.91,114982.336,212530.23,34570.88,208551.81,67824.66,23042.357,3202798,61160.51,366908.75,18280076,189604.2,22947628,302532.94,302532.94,37485.125,1066513.4,3569519,71054.18,164749.86,1991207.1,43326.656,1051161.5,1616942,85186.18,42043.062,231637.81,20903.762,136684.12,112703.63,200849.4,8315.335,19732.076,225258.9,6232.0977,60061.375,160083.34,19118.549,23122.498,292847.72,16899.857,10226.458
PI656077,55.776146,1147211.1,3021.827,7753.3774,44552.926,2600.2686,11112.296,5833.325,1871.3168,7856.3057,4234.2197,10382.253,125143.53,3277.5012,89124.76,71079.8,89043.83,1874.9204,17291.771,7615662,116863.05,12396406,1797828.2,1021368.25,145733.45,851277.44,9592.84,1051.2227,71473.516,4448.659,66935.45,52008.75,2142.9016,1304356.4,19197.043,81306.93,5179181.5,64083.81,5317499.5,908409.56,663610.7,26827.287,341535,708055.75,37291.53,70243.016,411522.88,15547.368,116448.87,361110.78,8614.999,7861.897,47564.3,3428.0706,17811.668,3428.0706,25493.793,2567.7957,1078.4814,2889.0671,6253.418,2167.8242,46529.15,931.88794,880.2342,41280.016,1232.5724,7753.3774
PI534028,225.27235,1500219.5,2080.145,16150.455,58049.492,1884.0953,18722.635,9998.341,22821.723,17604.729,6168.185,36202.15,318869.9,77412.82,74859.55,118854.55,100112.84,20771.953,22297.627,14174474,71526.1,16322408,1282891.2,1273742.1,123610.74,1028788,207626.23,8889.467,104536.83,2135.2656,63541.625,35149.54,2132.2808,1499949.1,64034.195,227574.62,4208914.5,70754.42,8551673,836080,861582.06,45221.445,251871.17,1216512,30466.445,6952.8525,478859.8,27988.219,318664.4,512074.34,41534.066,5044.366,37689.543,9408.605,8870.641,29698.9,36629.24,13818.315,15924.248,11391.14,4544.557,31029.275,75107.47,8652.276,11115.777,80895.93,5418.1885,16150.455
PI656104,561.5629,2691190,41544.977,53569.254,187653.98,6898.907,32359.314,8134.2593,16401.457,26017.615,23769.887,1906.6598,110605.66,9263.335,94280.96,64892.734,100586.67,2125.8506,31210.34,2555931.8,116686.97,11315111,814310.9,1633681.5,714117.8,1437648,45756.754,2287.666,82541.87,7207.8564,66550.09,6900.5073,4106.5303,791488.75,35135.633,169119.86,4909563,159531.61,1949504.2,515005.3,26667.293,130056.1,934119.3,979162.75,13599.012,37873.117,911440.8,33690.414,43387.355,314709.34,23858.422,23021.256,92615.9,8842.616,51919.36,34149.918,45838.527,11957.196,19059.57,65789.85,3453.406,40660.11,99730.54,10993.545,17137.656,123432.82,15157.222,53569.254
PI595745,115.26703,703142.2,1586.7227,34120.582,46011.703,3656.7058,39350.965,8258.686,31175.305,8238.569,28444.213,29583.041,315334.8,43184.9,73751.63,406919.88,189093.48,9336.117,18586.621,20676014,316290.25,16753193,1677757.6,1252907.2,226449.81,2039679.4,145359.38,3605.0518,243231.72,5947.043,105063.4,76592.64,17538.643,2935008.8,77937.73,166302.9,4170494.5,104189.75,4635270,223674.66,21060.863,141778.23,1102845.9,566859.44,49409.63,218794.39,635608.06,16342.304,326379.66,306942.9,8419.5625,35548.145,44270.023,1219.1053,14645.185,31067.432,48277.47,60355.242,3165.0989,3937.1665,102479,3195.9426,81450.086,1350.7139,2135.98,48127.88,8579.483,34120.582
PI598069,279.13782,1294904,6880.66,16266.766,45388.492,65753.27,28179.438,25368.814,24386.55,25368.814,2895.5732,23906.709,275794.72,66159.32,176761.52,257317.52,169984.56,8294.423,26269.422,16885700,274315,17858620,1210313.2,664216.1,283259.16,536893.25,51728.87,3902.09,140396.1,3188.3506,107528.54,47353.902,1426.0175,3221949.2,85449.195,117748.13,8543580,61357.97,7114643,587534.44,656980,89226.29,607029.06,339916.78,32068.324,143207.45,493052.78,22254.184,621573.9,488076.9,22591.734,12235.872,21167.467,9851.351,26189.598,45594.277,55680.824,15686.545,14808.038,30175.58,21570.367,22618.521,123323.16,7632.323,3820.3164,138382.16,3577.0796,16266.766
PI534079,500.75513,2191094.5,21050.639,69964.93,138224.86,6485.509,3742.8586,4758.9023,5344.142,4758.9023,1235.6152,26898.9,136831.22,21162.826,85337.08,73163.49,49186.938,3054.6538,19085.344,8121575.5,109755.75,6278015.5,860668.2,20587.47,350992.84,930537.06,77985.195,442.8787,66446.18,1398.0168,71267.77,25479.266,4526.1694,1021359.25,53691.965,56474.992,4330464.5,63368.67,3200494.8,199838.44,178973.38,64115.945,283867.88,399943.97,52761.95,52733.09,293338.7,17405.184,160526.72,263603.2,2970.976,4556.004,7470.0093,3847.1697,14772.008,10582.473,29741.54,8779.696,2859.282,4381.4487,2122.6045,3999.3174,47254.484,1505.2675,475.8098,6859.541,1140.491,69964.93
PI656074,475.0409,1441340.2,5823.8823,52960.46,113945.125,46896.945,24264.193,32624.398,31998.893,32624.398,20821.232,39909.79,288274.7,24403.799,205116.92,174014.56,169773.81,51851.695,133099.6,17069464,268164.53,26382598,3638943,2688991,826091.06,2160551,301442.62,36903.094,309903.12,17180.389,138413.34,57008.266,4092.4485,7246224,112538.05,180008.77,18847000,177649.1,13955646,1015354.5,1215648.6,129410.47,1244820.4,1182907,86967.78,388847.03,1743271.5,45536.543,1890139.9,826935,9076.719,57207.18,129529.78,36506.242,71048.94,36134.387,100140.5,6184.26,42286.402,73921.42,11687.273,63864.18,128088.86,9253.916,12916.103,129844.016,8795.021,52960.46
PI576333,295.4818,1391652.2,5883.1514,52146.55,100345.36,2871.503,48156.29,10999.331,41099.695,10539.507,25478.273,28532.65,278407.56,52210.02,333947.53,514851.28,388124.8,13489.236,66533.14,8818761,292634.9,6877874,346871.56,1185903.5,549893.1,758437.3,41026.85,2379.9246,366135.12,18403.004,179588.03,128222.836,15869.537,4815299.5,106250.195,62203.95,12279655,73179.25,9541731,338820.94,35003.406,128923.29,641814.4,701616.94,101480.19,189177.61,1157173.6,30723.33,950715.6,697756.94,2237.4404,45753.05,59657.91,7795.613,65704.36,30561.025,84935.77,15189.456,47811.652,19379.84,29940.352,71395.35,94196.836,13134.241,2000.3274,130850.97,8508.732,52146.55
PI656016,134.53032,1435342,7467.5137,34638.516,109330.2,4466.542,2711.9324,1647.706,10349.284,2366.35,2157.0166,25530.893,211316.27,36435.32,69147.52,75897.51,56505.83,11380.097,20028.285,7292896.5,148244.14,10476024,700108.2,956971.2,406183.53,660908.94,35681.688,813.07886,61359.11,1761.4092,44534.16,25589.945,6027.772,1008522.8,13481.846,25216.375,3136887,62110.703,4439185,121911.516,121911.516,28547.707,280117.75,536821.5,14305.124,7593.8525,340725.88,13730.195,100976.64,451525.12,6974.615,8213.787,17333.443,5834.9297,23262.299,20141.676,22313.396,11484.172,2287.087,3885.1592,3417.379,3661.6477,54726.625,1420.67,1513.0828,40375.664,906.5465,34638.516
PI655987,218.14703,1602696.6,3402.1982,57147.28,103119.266,1493.1654,15185.466,3341.0928,13430.348,1421.3704,1296.2844,17007.225,179734.12,33899.566,53068.195,192085.86,109303.24,15145.682,2943.6836,9131509,154019.73,7391570,664078.06,304270.4,196835.73,555113.75,61466.664,1079.2114,119961.17,1646.6641,54611.984,28042.863,1363.4766,1290606.2,31337.484,299321.34,3149715.2,45217.72,2884189,444253.2,394190.8,36242.273,557888.8,547006.9,10896.027,56857.867,340126.28,10150.136,201085.78,207831.62,8638.162,7863.3135,13690.253,19002.725,8193.119,15454.021,34233.723,6186.3213,8713.021,3046.8557,16518.748,3166.4756,45513.473,877.45166,1008.25275,43175.53,4026.9292,57147.28
PI585295,572.57336,1883681.1,26450.889,156858.9,386218.97,1773.1497,19301.807,10191.743,12981.761,17883.748,8660.002,15732.784,187596.89,12158.859,71885.34,101654.195,106085.66,22214.21,1854.6514,8091926,66628.27,8448891,981411.4,859753.5,544020.56,1156448.8,52543.293,4492.134,71334.65,1364.5854,58839.83,18226.982,1903.1982,954321.94,9829.0205,228157.75,2571782,97686.35,4813023.5,259755.58,65060.08,22401.154,211386.38,629871.9,7101.122,141957.98,261833.88,12022.313,113816.44,414235.16,25567.191,7933.0454,19231.299,18100.848,11646.412,3418.2239,18651.445,17703.602,2370.6821,21446.303,33181.332,2156.9326,55772.8,2903.408,985.12915,25772.725,16271.511,156858.9
PI655977,317.8946,1171536.5,884.3003,67462.055,147080.58,34500.3,14089.952,38886.54,10427.742,9539.363,3945.9314,824.0178,89565.71,225.88101,56795.11,132750.02,33827.625,30078.428,3542.5483,13790082,3658.3516,11963812,1529223.1,172094.44,5959.305,298296.3,37770.535,0,23609.719,68389.12,68390.586,55356.81,692.50354,1643678,19954.312,2970.4756,10846436,7898.4736,5423933.5,3448.244,10499.08,2441.9287,516770.53,256379.98,406.02548,447414.66,217570.2,10970.466,432124.06,186719.05,20360.145,4133.8896,18072.256,2233.026,15786.9,23318.297,10748.681,3006.3132,5558.426,9140.619,8424.863,8347.879,34019.848,584.1207,649.3741,6306.118,1644.582,67462.055
PI597946,2003.9597,1981899.6,3104.893,56427,197168.64,51049.832,17164.104,40661.61,14708.707,11124.668,13598.2295,22211.55,291921.28,7745.3057,276894.84,80923.41,201104.58,31489.533,63742.16,12125566,106757.28,20578290,921083.1,341306.5,148458.25,1268289.5,48837.543,6123.142,126191.2,11517.277,66254.58,50908.81,11020.12,3670517.2,95509.984,35699.918,12945318,69260.625,8094962,268690.94,3108.0693,21384.89,381790.62,924537.9,14353.598,97126.61,741153.75,14206.203,183502.14,806136.9,24948.166,19684.74,65070.12,7459.9043,28392.764,37420.707,37632.703,12008.96,16469.887,46987.793,21012.217,18674.973,52388.35,1698.0247,5982.2334,126312.8,2589.1367,56427
PI598070,129.70865,1627601.4,3728.92,958.39374,77402.93,50505.934,6430.5093,50316.18,42158.89,50316.18,70202.555,2449.0562,310285.88,11772.609,366265.53,292008.47,312236.88,9640.88,72805.82,8653476,68257.95,33248490,4173832,2959586,1483952.2,4392258,728529.7,68558.016,104606.836,37606.89,201645.52,129699.96,27730.072,766938,20740.13,158096.22,7222096,555491.6,19947168,1661317,46399.242,36018.297,541335.44,7127084.5,185865.3,412963.6,1874134.9,39135.508,286389.72,1331610,59048.14,30062.824,407306.72,28187.219,93741.63,32520.459,158314.31,2528.8872,39796,344317.2,5265.0254,45698.664,217181.69,25516.62,9053.181,449996.62,33085.055,958.39374
PI533760,854.7533,1397568.6,4863.1885,80667.36,274745.53,8084.7134,34492.5,15458.955,8739.588,15458.955,14072.102,33138.652,268668.97,5542.2344,85672.49,212321.92,123787.69,28769.67,34248.586,10256325,117290.92,16460305,1297820.8,19167.08,185795.25,1372518.4,61025.773,1546.6686,135636.33,2794.0952,77777.805,71349.79,3723.317,2924013.2,155360.7,39500.508,9899309,73281.8,2427366.8,149583.5,149583.5,90820.58,914080.7,985371.75,28079.307,31121.818,1038802.44,19549.916,1052257.8,580351.7,41024.703,20206.79,52755.793,23179.355,21803.188,23418.814,52588.867,7124.4937,3853.7769,8020.744,24561.781,23796.04,75968.164,2260.8276,1799.4896,51466.51,1335.1594,80667.36
PI656040,369.83414,1425593,20946.469,29274.908,49171.746,2814.3264,38806.812,2618.606,21494.064,5768.664,19360.928,15535.477,144531.77,58882.594,152195.88,57430.07,65555,18102.867,18755.426,11608140,301197.34,11023308,385990.94,421109.7,425860.4,622519.6,53597.91,1578.4277,106524.76,1755.8501,77272.1,34357.598,2291.8853,1814357.9,24909.504,74812.16,5390282.5,43994.59,4127360,380448,40576.3,81890.39,989327.9,353747.9,86573.336,76037.65,455100.03,11697.98,363605.8,137926.33,10059.486,9579.322,16522.127,3469.5715,9071.778,17462.14,32577.66,19357.44,19357.902,3341.7527,29365.52,28645.621,42359.89,1876.9154,807.9819,28968.111,7757.613,29274.908
